Id Registro de Alarma;Fecha;Hora;Nombre de Equipo;Id Operador;Apellido de Operador;Nombre de Operador;Etiqueta del Gorro;Id del Sensor;Id Regla de Alarma;Nombre de Alarma;Inicio de Turno Fecha/Hora;Fin de Turno Fecha/Hora;Latitud;Longitud;Valor;Desfase Minutos
33;13-07-2018;17:57:55;BUS 265;636;SEMISA;CONDUCTOR 05;1275;000020D25F001275;4;Sin LifeBand por 10mins;13-07-2018 10:00;13-07-2018 22:00;-298.390.633.333.333;-697.056.016.666.667;3740.0;71
32;13-07-2018;12:55:15;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;3;Nivel 3+ por 10 mins;13-07-2018 10:00;13-07-2018 22:00;-311.168.216.666.667;-686.368.416.666.667;937.5;373
31;12-07-2018;19:30:41;BUS 255;;;;SATa00040;0000999999A00040;1;Nivel 4 por 3 mins;12-07-2018 10:00;12-07-2018 22:00;123.456;234.567;30.0;0
30;11-07-2018;20:49:04;BUS 275;877;SEMISA;CONDUCTOR 09;0013f2;000020D25F0013F2;4;Sin LifeBand por 10mins;11-07-2018 10:00;11-07-2018 22:00;-298.389.533.333.333;-6.970.546;3740.7;70
29;10-07-2018;21:50:48;BUS 265;;;;SATa00005;0000999999A00005;1;Nivel 4 por 3 mins;10-07-2018 10:00;10-07-2018 22:00;123.456;234.567;30.0;0
28;10-07-2018;21:43:41;BUS 265;;;;SATa00005;0000999999A00005;1;Nivel 4 por 3 mins;10-07-2018 10:00;10-07-2018 22:00;123.456;234.567;30.0;1
27;10-07-2018;15:38:22;BUS 255;35;SEMISA;CONDUCTOR 12;1165;000020D25F001165;4;Sin LifeBand por 10mins;10-07-2018 10:00;10-07-2018 22:00;-302.040.683.333.333;-69.266.175;1924.0;137
26;10-07-2018;15:37:22;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;4;Sin LifeBand por 10mins;10-07-2018 10:00;10-07-2018 22:00;-302.040.516.666.667;-692.662.383.333.333;1918.1;4
25;10-07-2018;12:04:39;BUS 265;000CB6;SEMISA;CONDUCTOR 04;1040;000020D25F001040;4;Sin LifeBand por 10mins;10-07-2018 10:00;10-07-2018 22:00;-3.153.999;-6.850.995;611.5;0
24;10-07-2018;11:48:43;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;4;Sin LifeBand por 10mins;10-07-2018 10:00;10-07-2018 22:00;-293.578.866.666.667;-69.914.775;3755.4;0
23;10-07-2018;0:18:46;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-294.104.866.666.667;-698.909.633.333.333;3846.3;0
22;09-07-2018;23:43:01;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-293.263.116.666.667;-699.154.783.333.333;3927.6;0
21;09-07-2018;23:33:01;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-293.263.116.666.667;-699.154.783.333.333;3927.6;0
20;09-07-2018;23:23:00;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-293.263.116.666.667;-699.154.783.333.333;3927.6;2
19;09-07-2018;23:13:00;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-293.263.116.666.667;-699.154.783.333.333;3927.6;1
18;09-07-2018;19:43:56;BUS 265;787;SEMISA;CONDUCTOR 07;00118a;000020D25F00118A;4;Sin LifeBand por 10mins;09-07-2018 19:00;10-07-2018 7:00;-293.263.033.333.333;-69.915.605;3901.0;29
17;09-07-2018;15:21:08;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 7:00;09-07-2018 19:00;-3.020.374;-692.665.066.666.667;1920.3;204
16;09-07-2018;13:29:37;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;09-07-2018 7:00;09-07-2018 19:00;-309.787.083.333.333;-688.054.316.666.667;1525.4;316
15;09-07-2018;10:51:38;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;2;Nivel 4 por 0 mins;09-07-2018 7:00;09-07-2018 19:00;-310.480.516.666.667;-687.112.216.666.667;1112.6;297
14;09-07-2018;10:18:49;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;3;Nivel 3+ por 10 mins;09-07-2018 7:00;09-07-2018 19:00;-314.022.683.333.333;-68.565.225;731.8;1
13;09-07-2018;10:18:44;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;1;Nivel 4 por 3 mins;09-07-2018 7:00;09-07-2018 19:00;-314.022.683.333.333;-68.565.225;731.8;0
12;09-07-2018;10:15:43;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;1;Nivel 4 por 3 mins;09-07-2018 7:00;09-07-2018 19:00;-314.022.683.333.333;-68.565.225;731.8;0
